States,States Code,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Groups,Age Groups Code,Race,Race Code,Count,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Incidence_Severity,Severity Numeric,race_AMERICAN INDIAN OR ALASKA NATIVE,race_ASIAN OR PACIFIC ISLANDER,race_BLACK OR AFRICAN AMERICAN,race_WHITE,Region,Age_Start,Age_Risk_Group
ALABAMA,1,2018,2018,BREAST,26000,30-34 YEARS,30-34,WHITE,2106-3,27,208556,12.9,8.5,18.8,2.5,Low,0,0,0,0,1,SOUTH,30,YOUNG
ALABAMA,1,2018,2018,BREAST,26000,35-39 YEARS,35-39,BLACK OR AFRICAN AMERICAN,2054-5,43,90126,47.7,34.5,64.3,7.3,Medium,1,0,0,1,0,SOUTH,35,YOUNG
ALABAMA,1,2018,2018,BREAST,26000,35-39 YEARS,35-39,WHITE,2106-3,60,212419,28.2,21.6,36.4,3.6,Medium,1,0,0,0,1,SOUTH,35,YOUNG
ALABAMA,1,2018,2018,BREAST,26000,40-44 YEARS,40-44,BLACK OR AFRICAN AMERICAN,2054-5,62,81171,76.4,58.6,97.9,9.7,High,2,0,0,1,0,SOUTH,40,MIDDLE AGE
ALABAMA,1,2018,2018,BREAST,26000,40-44 YEARS,40-44,WHITE,2106-3,134,205154,65.3,54.7,77.4,5.6,High,2,0,0,0,1,SOUTH,40,MIDDLE AGE
ALABAMA,1,2018,2018,BREAST,26000,45-49 YEARS,45-49,BLACK OR AFRICAN AMERICAN,2054-5,66,82035,80.5,62.2,102.4,9.9,High,2,0,0,1,0,SOUTH,45,MIDDLE AGE
ALABAMA,1,2018,2018,BREAST,26000,45-49 YEARS,45-49,WHITE,2106-3,206,229103,89.9,78.1,103.1,6.3,High,2,0,0,0,1,SOUTH,45,MIDDLE AGE
ALABAMA,1,2018,2018,BREAST,26000,50-54 YEARS,50-54,BLACK OR AFRICAN AMERICAN,2054-5,108,82329,131.2,107.6,158.4,12.6,High,2,0,0,1,0,SOUTH,50,MIDDLE AGE
ALABAMA,1,2018,2018,BREAST,26000,50-54 YEARS,50-54,WHITE,2106-3,217,231953,93.6,81.5,106.9,6.4,High,2,0,0,0,1,SOUTH,50,MIDDLE AGE
ALABAMA,1,2018,2018,BREAST,26000,55-59 YEARS,55-59,BLACK OR AFRICAN AMERICAN,2054-5,128,87445,146.4,122.1,174,12.9,High,2,0,0,1,0,SOUTH,55,MIDDLE AGE
ALABAMA,1,2018,2018,BREAST,26000,55-59 YEARS,55-59,WHITE,2106-3,312,249954,124.8,111.4,139.5,7.1,High,2,0,0,0,1,SOUTH,55,MIDDLE AGE
ALABAMA,1,2018,2018,BREAST,26000,60-64 YEARS,60-64,BLACK OR AFRICAN AMERICAN,2054-5,142,80936,175.4,147.8,206.8,14.7,Critical,3,0,0,1,0,SOUTH,60,SENIOR
ALABAMA,1,2018,2018,BREAST,26000,60-64 YEARS,60-64,WHITE,2106-3,390,236547,164.9,148.9,182.1,8.3,High,2,0,0,0,1,SOUTH,60,SENIOR
ALABAMA,1,2018,2018,BREAST,26000,65-69 YEARS,65-69,BLACK OR AFRICAN AMERICAN,2054-5,143,63641,224.7,189.4,264.7,18.8,Critical,3,0,0,1,0,SOUTH,65,SENIOR
ALABAMA,1,2018,2018,BREAST,26000,65-69 YEARS,65-69,WHITE,2106-3,408,205961,198.1,179.3,218.3,9.8,Critical,3,0,0,0,1,SOUTH,65,SENIOR
