"Notes","States","States Code","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","Age Groups","Age Groups Code","Race","Race Code",Count,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Alabama","01","2018","2018","Breast","26000","30-34 years","30-34","White","2106-3",27,208556,12.9,8.5,18.8,2.5
,"Alabama","01","2018","2018","Breast","26000","35-39 years","35-39","Black or African American","2054-5",43,90126,47.7,34.5,64.3,7.3
,"Alabama","01","2018","2018","Breast","26000","35-39 years","35-39","White","2106-3",60,212419,28.2,21.6,36.4,3.6
,"Alabama","01","2018","2018","Breast","26000","40-44 years","40-44","Black or African American","2054-5",62,81171,76.4,58.6,97.9,9.7
,"Alabama","01","2018","2018","Breast","26000","40-44 years","40-44","White","2106-3",134,205154,65.3,54.7,77.4,5.6
,"Alabama","01","2018","2018","Breast","26000","45-49 years","45-49","Black or African American","2054-5",66,82035,80.5,62.2,102.4,9.9
,"Alabama","01","2018","2018","Breast","26000","45-49 years","45-49","White","2106-3",206,229103,89.9,78.1,103.1,6.3
,"Alabama","01","2018","2018","Breast","26000","50-54 years","50-54","Black or African American","2054-5",108,82329,131.2,107.6,158.4,12.6
,"Alabama","01","2018","2018","Breast","26000","50-54 years","50-54","White","2106-3",217,231953,93.6,81.5,106.9,6.4
,"Alabama","01","2018","2018","Breast","26000","55-59 years","55-59","Black or African American","2054-5",128,87445,146.4,122.1,174.0,12.9
,"Alabama","01","2018","2018","Breast","26000","55-59 years","55-59","White","2106-3",312,249954,124.8,111.4,139.5,7.1
,"Alabama","01","2018","2018","Breast","26000","60-64 years ","60-64","Black or African American","2054-5",142,80936,175.4,147.8,206.8,14.7
,"Alabama","01","2018","2018","Breast","26000","60-64 years ","60-64","White","2106-3",390,236547,164.9,148.9,182.1,8.3
,"Alabama","01","2018","2018","Breast","26000","65-69 years","65-69","Black or African American","2054-5",143,63641,224.7,189.4,264.7,18.8
,"Alabama","01","2018","2018","Breast","26000","65-69 years","65-69","White","2106-3",408,205961,198.1,179.3,218.3,9.8
,"Alabama","01","2018","2018","Breast","26000","70-74 years","70-74","Black or African American","2054-5",108,40816,264.6,217.1,319.5,25.5
,"Alabama","01","2018","2018","Breast","26000","70-74 years","70-74","White","2106-3",442,172319,256.5,233.1,281.6,12.2
,"Alabama","01","2018","2018","Breast","26000","75-79 years","75-79","Black or African American","2054-5",72,25668,280.5,219.5,353.2,33.1
,"Alabama","01","2018","2018","Breast","26000","75-79 years","75-79","White","2106-3",309,120085,257.3,229.4,287.7,14.6
,"Alabama","01","2018","2018","Breast","26000","80-84 years","80-84","Black or African American","2054-5",42,16669,252.0,181.6,340.6,38.9
,"Alabama","01","2018","2018","Breast","26000","80-84 years","80-84","White","2106-3",179,77509,230.9,198.3,267.4,17.3
,"Alabama","01","2018","2018","Breast","26000","85+ years","85+","Black or African American","2054-5",45,15136,297.3,216.9,397.8,44.3
,"Alabama","01","2018","2018","Breast","26000","85+ years","85+","White","2106-3",160,68829,232.5,197.8,271.4,18.4
,"Alabama","01","2018","2018","Kidney and Renal Pelvis","29020","35-39 years","35-39","White","2106-3",16,212419,7.5,4.3,12.2,1.9
