Notes,States,States Code,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Groups,Age Groups Code,Race,Race Code,Count,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,Alabama,1,2019,2019,Brain and Other Nervous System,31010-31040,50-54 years,50-54,White,2106-3,19,227782,8.3,5,13,1.9
,Alabama,1,2019,2019,Brain and Other Nervous System,31010-31040,55-59 years,55-59,White,2106-3,24,250892,9.6,6.1,14.2,2
,Alabama,1,2019,2019,Brain and Other Nervous System,31010-31040,60-64 years ,60-64,White,2106-3,39,238791,16.3,11.6,22.3,2.6
,Alabama,1,2019,2019,Brain and Other Nervous System,31010-31040,65-69 years,65-69,White,2106-3,44,208963,21.1,15.3,28.3,3.2
,Alabama,1,2019,2019,Brain and Other Nervous System,31010-31040,70-74 years,70-74,White,2106-3,32,178502,17.9,12.3,25.3,3.2
,Alabama,1,2019,2019,Brain and Other Nervous System,31010-31040,75-79 years,75-79,White,2106-3,35,124010,28.2,19.7,39.3,4.8
,Alabama,1,2019,2019,Brain and Other Nervous System,31010-31040,80-84 years,80-84,White,2106-3,23,79471,28.9,18.3,43.4,6
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,35-39 years,35-39,Black or African American,2054-5,17,89815,18.9,11,30.3,4.6
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,35-39 years,35-39,White,2106-3,21,214098,9.8,6.1,15,2.1
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,40-44 years,40-44,White,2106-3,67,205909,32.5,25.2,41.3,4
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,45-49 years,45-49,Black or African American,2054-5,38,82393,46.1,32.6,63.3,7.5
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,45-49 years,45-49,White,2106-3,89,226080,39.4,31.6,48.4,4.2
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,50-54 years,50-54,Black or African American,2054-5,59,80335,73.4,55.9,94.7,9.6
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,50-54 years,50-54,White,2106-3,160,227782,70.2,59.8,82,5.6
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,55-59 years,55-59,Black or African American,2054-5,84,86998,96.6,77,119.5,10.5
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,55-59 years,55-59,White,2106-3,179,250892,71.3,61.3,82.6,5.3
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,60-64 years ,60-64,Black or African American,2054-5,85,82103,103.5,82.7,128,11.2
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,60-64 years ,60-64,White,2106-3,247,238791,103.4,90.9,117.2,6.6
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,65-69 years,65-69,Black or African American,2054-5,103,65948,156.2,127.5,189.4,15.4
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,65-69 years,65-69,White,2106-3,277,208963,132.6,117.4,149.1,8
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,70-74 years,70-74,Black or African American,2054-5,82,44233,185.4,147.4,230.1,20.5
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,70-74 years,70-74,White,2106-3,256,178502,143.4,126.4,162.1,9
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,75-79 years,75-79,Black or African American,2054-5,62,26615,233,178.6,298.6,29.6
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,75-79 years,75-79,White,2106-3,218,124010,175.8,153.2,200.7,11.9
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,80-84 years,80-84,Black or African American,2054-5,42,17018,246.8,177.9,333.6,38.1
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,80-84 years,80-84,White,2106-3,171,79471,215.2,184.1,250,16.5
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,85+ years,85+,Black or African American,2054-5,41,15284,268.3,192.5,363.9,41.9
,Alabama,1,2019,2019,Colon and Rectum,21041-21052,85+ years,85+,White,2106-3,164,69230,236.9,202,276.1,18.5
,Alabama,1,2019,2019,Leukemias,35011-35043,45-49 years,45-49,White,2106-3,19,226080,8.4,5.1,13.1,1.9
