"Notes","States","States Code","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","Age Groups","Age Groups Code","Race","Race Code",Count,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Alabama","01","2022","2022","Breast","26000","25-29 years","25-29","White","2106-3",16,211470,7.6,4.3,12.3,1.9
,"Alabama","01","2022","2022","Breast","26000","30-34 years","30-34","Black or African American","2054-5",22,102838,21.4,13.4,32.4,4.6
,"Alabama","01","2022","2022","Breast","26000","30-34 years","30-34","White","2106-3",34,224797,15.1,10.5,21.1,2.6
,"Alabama","01","2022","2022","Breast","26000","35-39 years","35-39","Black or African American","2054-5",38,88500,42.9,30.4,58.9,7.0
,"Alabama","01","2022","2022","Breast","26000","35-39 years","35-39","White","2106-3",58,214064,27.1,20.6,35.0,3.6
,"Alabama","01","2022","2022","Breast","26000","40-44 years","40-44","Black or African American","2054-5",76,88008,86.4,68.0,108.1,9.9
,"Alabama","01","2022","2022","Breast","26000","40-44 years","40-44","White","2106-3",139,214227,64.9,54.5,76.6,5.5
,"Alabama","01","2022","2022","Breast","26000","45-49 years","45-49","Black or African American","2054-5",74,79372,93.2,73.2,117.0,10.8
,"Alabama","01","2022","2022","Breast","26000","45-49 years","45-49","White","2106-3",209,208527,100.2,87.1,114.8,6.9
,"Alabama","01","2022","2022","Breast","26000","50-54 years","50-54","Black or African American","2054-5",120,80310,149.4,123.9,178.7,13.6
,"Alabama","01","2022","2022","Breast","26000","50-54 years","50-54","White","2106-3",294,232513,126.4,112.4,141.8,7.4
,"Alabama","01","2022","2022","Breast","26000","50-54 years","50-54","Other Races and Unknown combined","2131-1",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Breast","26000","55-59 years","55-59","Black or African American","2054-5",146,81938,178.2,150.5,209.5,14.7
,"Alabama","01","2022","2022","Breast","26000","55-59 years","55-59","White","2106-3",351,237104,148.0,133.0,164.4,7.9
,"Alabama","01","2022","2022","Breast","26000","60-64 years ","60-64","Black or African American","2054-5",195,82549,236.2,204.2,271.8,16.9
,"Alabama","01","2022","2022","Breast","26000","60-64 years ","60-64","White","2106-3",450,244168,184.3,167.7,202.1,8.7
,"Alabama","01","2022","2022","Breast","26000","65-69 years","65-69","Black or African American","2054-5",192,71623,268.1,231.5,308.8,19.3
,"Alabama","01","2022","2022","Breast","26000","65-69 years","65-69","White","2106-3",517,221255,233.7,214.0,254.7,10.3
,"Alabama","01","2022","2022","Breast","26000","70-74 years","70-74","Black or African American","2054-5",149,52845,282.0,238.5,331.0,23.1
,"Alabama","01","2022","2022","Breast","26000","70-74 years","70-74","White","2106-3",448,185776,241.2,219.3,264.5,11.4
,"Alabama","01","2022","2022","Breast","26000","75-79 years","75-79","Black or African American","2054-5",74,30751,240.6,189.0,302.1,28.0
,"Alabama","01","2022","2022","Breast","26000","75-79 years","75-79","White","2106-3",377,140081,269.1,242.6,297.7,13.9
,"Alabama","01","2022","2022","Breast","26000","80-84 years","80-84","Black or African American","2054-5",47,17775,264.4,194.3,351.6,38.6
,"Alabama","01","2022","2022","Breast","26000","80-84 years","80-84","White","2106-3",255,84054,303.4,267.3,343.0,19.0
,"Alabama","01","2022","2022","Breast","26000","85+ years","85+","Black or African American","2054-5",59,15308,385.4,293.4,497.2,50.2
,"Alabama","01","2022","2022","Breast","26000","85+ years","85+","White","2106-3",176,70370,250.1,214.5,289.9,18.9
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","35-39 years","35-39","White","2106-3",17,214064,7.9,4.6,12.7,1.9
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","40-44 years","40-44","White","2106-3",28,214227,13.1,8.7,18.9,2.5
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","45-49 years","45-49","Black or African American","2054-5",17,79372,21.4,12.5,34.3,5.2
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","45-49 years","45-49","White","2106-3",55,208527,26.4,19.9,34.3,3.6
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","50-54 years","50-54","Black or African American","2054-5",21,80310,26.1,16.2,40.0,5.7
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","50-54 years","50-54","White","2106-3",79,232513,34.0,26.9,42.3,3.8
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","55-59 years","55-59","Black or African American","2054-5",38,81938,46.4,32.8,63.7,7.5
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","55-59 years","55-59","White","2106-3",88,237104,37.1,29.8,45.7,4.0
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","60-64 years ","60-64","Black or African American","2054-5",41,82549,49.7,35.6,67.4,7.8
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","60-64 years ","60-64","White","2106-3",126,244168,51.6,43.0,61.4,4.6
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","65-69 years","65-69","Black or African American","2054-5",60,71623,83.8,63.9,107.8,10.8
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","65-69 years","65-69","White","2106-3",162,221255,73.2,62.4,85.4,5.8
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","70-74 years","70-74","Black or African American","2054-5",41,52845,77.6,55.7,105.3,12.1
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","70-74 years","70-74","White","2106-3",124,185776,66.7,55.5,79.6,6.0
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","75-79 years","75-79","Black or African American","2054-5",22,30751,71.5,44.8,108.3,15.3
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","75-79 years","75-79","White","2106-3",115,140081,82.1,67.8,98.5,7.7
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","80-84 years","80-84","White","2106-3",63,84054,75.0,57.6,95.9,9.4
,"Alabama","01","2022","2022","Kidney and Renal Pelvis","29020","85+ years","85+","White","2106-3",38,70370,54.0,38.2,74.1,8.8
,"Alabama","01","2022","2022","Liver","21071","55-59 years","55-59","White","2106-3",47,237104,19.8,14.6,26.4,2.9
,"Alabama","01","2022","2022","Liver","21071","60-64 years ","60-64","Black or African American","2054-5",22,82549,26.7,16.7,40.3,5.7
,"Alabama","01","2022","2022","Liver","21071","60-64 years ","60-64","White","2106-3",64,244168,26.2,20.2,33.5,3.3
,"Alabama","01","2022","2022","Liver","21071","65-69 years","65-69","Black or African American","2054-5",44,71623,61.4,44.6,82.5,9.3
,"Alabama","01","2022","2022","Liver","21071","65-69 years","65-69","White","2106-3",91,221255,41.1,33.1,50.5,4.3
,"Alabama","01","2022","2022","Liver","21071","70-74 years","70-74","Black or African American","2054-5",23,52845,43.5,27.6,65.3,9.1
