"Notes","States","States Code","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code",Count,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval,Age-Adjusted Rate Standard Error,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Alabama","01","2012","2012","Brain and Other Nervous System","31010-31040",395,4838981,7.5,6.7,8.2,0.4,8.2,7.4,9.0,0.4
,"Alabama","01","2012","2012","Breast","26000",3609,4838981,65.5,63.4,67.7,1.1,74.6,72.2,77.1,1.2
,"Alabama","01","2012","2012","Cervix Uteri","27010",236,2488209,9.4,8.3,10.8,0.6,9.5,8.3,10.8,0.6
,"Alabama","01","2012","2012","Colon and Rectum","21041-21052",2441,4838981,44.2,42.4,46.0,0.9,50.4,48.5,52.5,1.0
,"Alabama","01","2012","2012","Corpus Uteri","27020",548,2488209,17.5,16.0,19.0,0.8,22.0,20.2,23.9,0.9
,"Alabama","01","2012","2012","Esophagus","21010",259,4838981,4.5,4.0,5.1,0.3,5.4,4.7,6.0,0.3
,"Alabama","01","2012","2012","Gallbladder","21080",54,4838981,1.0,0.7,1.3,0.1,1.1,0.8,1.5,0.2
,"Alabama","01","2012","2012","Kidney and Renal Pelvis","29020",1000,4838981,17.9,16.8,19.1,0.6,20.7,19.4,22.0,0.7
,"Alabama","01","2012","2012","Larynx","22020",253,4838981,4.3,3.8,4.9,0.3,5.2,4.6,5.9,0.3
,"Alabama","01","2012","2012","Leukemias","35011-35043",672,4838981,12.6,11.7,13.6,0.5,13.9,12.9,15.0,0.5
,"Alabama","01","2012","2012","Liver","21071",360,4838981,6.1,5.5,6.8,0.3,7.4,6.7,8.2,0.4
,"Alabama","01","2012","2012","Lung and Bronchus","22030",4029,4838981,70.4,68.2,72.6,1.1,83.3,80.7,85.9,1.3
,"Alabama","01","2012","2012","Melanoma of the Skin","25010",1203,4838981,22.2,20.9,23.5,0.7,24.9,23.5,26.3,0.7
,"Alabama","01","2012","2012","Myeloma","34000",372,4838981,6.7,6.0,7.4,0.4,7.7,6.9,8.5,0.4
,"Alabama","01","2012","2012","Non-Hodgkin Lymphoma","33041-33042",902,4838981,16.4,15.3,17.5,0.6,18.6,17.4,19.9,0.6
,"Alabama","01","2012","2012","Oral Cavity and Pharynx","20010-20100",754,4838981,13.2,12.3,14.2,0.5,15.6,14.5,16.7,0.6
